year,tmID,confID,rank,playoff,firstRound,semis,finals,o_oreb,o_dreb,d_oreb,d_dreb,lost,GP,min,arena,powerRanking,offensiveFieldGoalPercentage,offensiveFreeThrowPercentage,offensiveThreePointPercentage,offensiveReboundsPerGame,offensiveAssistsPerGame,offensivePersonalFoulsPerGame,offensiveStealsPerGame,offensiveTurnoversPerGame,offensiveBlocksPerGame,offensivePointsPerGame,defensiveFieldGoalPercentage,defensiveFreeThrowPercentage,defensiveThreePointPercentage,defensiveReboundsPerGame,defensiveAssistsPerGame,defensivePersonalFoulsPerGame,defensiveStealsPerGame,defensiveTurnoversPerGame,defensiveBlocksPerGame,defensivePointsPerGame,winPercentage,homeWinPercentage,awayWinPercentage,conferenceWinPercentage,attendance
8,2,0,6,0,-1,-1,-1,383,782,379,846,20,34,6972,19,37.24443825715218,5.918933113881416,0.0,52.35173053900274,38.13559322033898,59.24170616113742,11.034482758620731,35.714285714285715,16.326530612244884,26.562499999999993,18.300653594771255,61.837320111816794,53.252977921931766,100.0,54.670329670329686,71.2418300653595,48.14814814814819,0.0,46.10389610389612,70.66666666666666,45.13108614232213,41.17647058823529,14.285714285714285,55.55555555555555,5.45454545454546,0.0
9,2,0,5,0,-1,-1,-1,357,770,366,794,22,34,6875,19,36.751305161743474,86.2032529866243,20.236073969412526,15.563853810539072,24.390243902439064,53.571428571428534,19.07216494845358,51.327433628318595,32.121212121212125,51.79856115107915,16.19937694704051,48.401746030678964,100.0,53.204335718876514,38.116591928251104,26.086956521739125,40.87591240875918,30.588235294117656,18.400000000000034,19.607843137254907,17.247097844112787,35.294117647058826,46.666666666666664,16.666666666666657,57.14285714285714,0.0
10,2,0,5,0,-1,-1,-1,307,776,359,797,18,34,6825,19,39.23537965464982,57.658766433174776,38.466345203722405,100.0,16.190476190476183,45.930232558139515,12.021857923497224,20.512820512820497,51.298701298701296,48.8095238095238,9.472049689441002,70.47345748772787,46.819421020799076,44.944939280419305,49.80544747081711,88.27586206896552,24.468085106383015,25.25252525252526,16.29213483146068,23.913043478260857,39.099099099099085,47.05882352941176,71.42857142857146,0.0,32.69230769230769,0.0
1,3,0,2,1,1,0,-1,331,603,277,596,15,32,6500,12,56.893462174770185,73.63539804966699,49.10763686791743,75.06012108778268,47.31543624161073,76.0204081632653,44.927536231884055,38.13559322033898,66.46341463414635,29.78723404255319,55.5895865237366,68.24779448715664,100.0,47.59584525863885,0.0,68.88888888888889,73.13432835820896,100.0,100.0,27.397260273972602,28.27102803738318,53.125,81.81818181818183,18.181818181818183,69.23076923076924,30.403274771333997
2,3,0,1,1,0,-1,-1,297,662,297,594,10,32,6425,12,36.85201437343869,71.03033000956104,55.04113302896548,34.63024415550311,31.775700934579437,49.45652173913043,12.365591397849462,55.08474576271186,12.871287128712872,1.3157894736842104,15.96153846153846,0.0,37.132737576285905,27.142575216634686,0.0,25.98870056497175,32.59668508287293,2.666666666666667,67.94871794871796,70.83333333333334,0.0,68.75,81.81818181818183,60.0,73.33333333333333,33.556545702732635
3,3,0,7,0,-1,-1,-1,295,674,278,640,22,32,6550,12,38.56703243057843,40.132276782928855,94.33259333202005,34.22351054644132,36.496350364963504,33.97435897435898,48.07692307692308,21.27659574468085,32.33082706766917,0.0,15.14476614699332,74.88705405826452,90.70730261296944,39.137977656448896,2.484472049689441,98.36065573770492,31.05590062111801,49.275362318840585,3.418803418803419,48.717948717948715,54.86725663716814,31.25,0.0,41.66666666666667,9.090909090909086,33.26729914094968
4,3,0,4,1,0,-1,-1,349,720,300,704,17,34,6825,12,38.69081902241522,44.74457464793045,36.00660228464312,24.42159383033414,41.025641025641,55.97484276729558,62.60504201680672,31.707317073170742,18.39080459770112,0.0,28.947368421052634,43.92742964113248,68.00710759365177,79.85367087111145,9.375000000000028,39.99999999999999,44.97607655502393,0.0,23.118279569892454,57.31707317073172,19.10112359550562,50.0,72.72727272727273,36.36363636363637,61.53846153846153,17.14155726938515
4,4,0,3,1,1,0,-1,333,762,366,812,16,34,6875,10,46.146573820057355,42.352161953753885,52.75931690486617,29.606178094314945,50.54945054945049,57.8616352201258,72.68907563025212,67.47967479674799,0.0,30.864197530864196,62.9385964912281,25.077319657245482,54.988578315760414,30.93078266861079,100.0,71.85185185185186,49.76076555023922,33.72093023255816,27.956989247311824,0.0,75.00000000000007,52.94117647058824,63.636363636363654,54.54545454545454,46.153846153846146,0.0
5,4,0,1,1,1,1,0,321,724,306,757,16,34,6900,10,50.2631062406217,77.47772818142208,44.73428407448034,26.75177178490877,58.05369127516775,73.00000000000003,28.497409326424865,85.71428571428575,20.105820105820094,0.0,60.29776674937965,75.18982637631187,43.75141949291576,95.57067963617992,68.61313868613138,91.59663865546221,27.33812949640288,12.149532710280358,38.03680981595093,3.921568627450996,62.96296296296291,52.94117647058824,44.44444444444445,71.4285714285714,93.99999999999999,0.0
6,4,0,1,1,1,1,1,322,788,350,728,8,34,6800,10,57.17097225796388,100.0,53.69337979094083,82.4528393858153,63.79310344827588,100.0,23.888888888888843,29.078014184397166,18.49315068493153,52.427184466019426,94.04466501240697,0.0,91.2098584233112,6.847661416376109,100.0,45.11278195488719,55.19480519480518,70.93023255813951,14.691943127962093,0.0,48.08917197452226,76.47058823529412,89.99999999999999,100.0,80.71428571428572,32.14175198783753
